Restaurant Name,Average Rating,Total Popularity
Delhi Club House,4,497
Apni Rasoi,1.941666667,489
Fish Streat,3.7,483
Manohar Dairy And Restaurant,4.25,481
Nooba,3.7,481
Nirula's,2.65,478
Kaveri Restaurant And Caterers,3.7,472
Twigly,4.55,471
FreshMenu,3.725,467
Invitation,1.8,460
Hungry - I,3.15,457
Cafe Diva,3.85,456
Bake N Shake,4.2,446
Wai Yu Mun Ching,3.55,433
Puri Bakers,3.725,432
Baskin Robbins,1.860714286,428
Tipu Sultan,3.85,427
Burgrill,4.45,427
Hawkers,3.05,424
Metro Dhaba,1.9,419
Nutritious Nation,3.55,416
The Creamery,4.05,415
Cafe Coffee Day The Square,3.65,410
Adyar Ananda Bhavan,3.15,407
New Town Cafe - Park Plaza,3.9,404
Urban Punjab,3.433333333,403
Sanjha Chulha,2.416666667,398
Chinese Corner,1.24,398
Arabian Nites,3.65,397
Chokola,3.45,397
Al Bake,2.95,396
La Pino'z Pizza,3.966666667,394
Kamal's,3.25,389
Madras Cafe,1.918181818,389
Goosebumps,3.8,387
Barbeque Ville,4.1,372
Aureo Dine & Bake House,1.75,370
Chawla's�_,2.271428571,364
Big Wong XL,3.95,361
Biryani Art,3.7,352
Dilli BC,4.25,351
Sugar & Spice - Le Marche,2.9,351
Anjlika Pastry Shop,3.75,349
Underdoggs Sports Bar & Grill,4.35,346
Burger Hut,3.2,335
The Mad Teapot/The Wishing Chair,4.25,334
Beliram Degchiwala,3.5,333
Habibi,3.4,330
Cafe Coffee Day - The Lounge,2.8,330
Gymkhana,4.7,328
Americana Kitchen and Bar,2.6,326
Finger Licious,2.2,325
Fat Lulu's,3.75,319
Spice Route,3.5,319
Paapi Paet,3.45,318
Ashoka Restaurant,3.55,318
Little Chef,3.4,318
Kamboj's,2.6,315
The Diet Kitchen,3.75,314
Sandwich King,3.65,314
Food Scouts,4.433333333,312
Litti.In,3.4,312
Tikka Town,3.033333333,309
All About Food,1.95,305
Bon Bon Pastry Shop,3.3,304
The Golden Dragon,2.833333333,304
Doughlicious,3.5,304
Alaturka,2.95,302
Comesum,2.35,300
Mysore Cafe,3.6,291
Mr. Brown,3.866666667,285
D�_vero��lu,4.3,283
Khana Khazana,1.85,281
Twenty Four Seven,2.147368421,280
Blue Tokai Coffee Roasters,3.85,279
Baked Buns,3.4,273
Captain Bill$ Deliverz,2.533333333,273
Mitra Da Dhaba,2.1,273
Otik Cake Shop,3.65,271
Chalte Firte Momos & Special Foods,3.35,267
Gopala,3.29,264
Chinese Hut,2.728571429,261
Tibb's Frankie,2.842857143,260
Pudding & Pie,3.166666667,258
Chutneez Restaurant Lounge & Bar,2.55,256
Shawarma Wala,2.066666667,255
Pho King Awesome,2.05,254
Movenpick,3.966666667,253
Big Fat Sandwich,3.2,253
Bakers Oven,3.6,252
Hwealthcafe,3.8,252
New Kadimi,2.9,252
Moti Mahal Delux- Legendary Culinary,3.6,249
Drifters Cafe,4,248
Red Chilli,2.5,247
The Kathis,3,247
Zaika,2.85,245
Viva Hyderabad,2.38,243
Twisted Tacos,3.6,242
Beijing Street,3.7,242
Baker's Stop,3.75,241
Sibang Bakery,3.7,240
Drool Waffles,3.65,237
Republic of Chicken,2.422222222,234
Hot Pot,2.075,232
Kanwarji's,3.433333333,232
Little Italy,3.55,227
Oberoi Biryani,2.75,225
Sandoz,2.4,225
